date,measureValue,t365,s365,t420,s420
2020-07-01 13:21:58.763,0.0000,0,0,0,0
2020-07-01 13:22:00.745,0.0000,0,0,0,0
2020-07-01 13:22:02.746,0.0000,0,0,0,0
2020-07-01 13:22:04.747,0.0000,0,0,0,0
2020-07-01 13:22:06.746,0.0000,0,0,0,0
2020-07-01 13:36:55.869,0.0000,0,0,0,0
2020-07-01 13:36:57.869,0.0000,0,0,0,0
2020-07-01 13:36:59.918,0.0000,0,0,0,0
2020-07-01 13:37:01.854,0.0000,0,0,0,0
2020-07-01 13:37:03.854,0.0000,0,0,0,0
2020-07-01 13:37:05.855,0.0000,0,0,0,0
2020-07-01 13:37:07.856,0.0000,0,0,0,0
2020-07-01 13:37:09.855,0.0000,0,0,0,0
2020-07-01 13:37:11.872,0.0000,0,0,0,0
2020-07-01 13:37:13.856,0.0000,0,0,0,0
2020-07-01 13:37:15.856,0.0000,0,0,0,0
2020-07-01 13:37:17.857,0.0000,0,0,0,0
2020-07-01 13:37:19.856,0.0000,0,0,0,0
2020-07-01 13:37:21.857,0.0000,0,0,0,0
2020-07-01 13:37:23.858,0.0000,0,0,0,0
2020-07-01 13:37:25.858,0.0000,0,0,0,0
2020-07-01 13:37:27.859,0.0000,0,0,0,0
2020-07-01 13:37:29.859,0.0000,0,0,0,0
2020-07-01 13:37:31.860,0.0000,0,0,0,0
2020-07-01 13:37:33.860,0.0000,0,0,0,0
2020-07-01 13:37:35.861,0.0000,0,0,0,0
2020-07-01 13:37:37.860,0.0000,0,0,0,0
2020-07-01 13:37:39.861,0.0000,0,0,0,0
2020-07-01 13:37:41.861,0.0000,0,0,0,0
2020-07-01 13:37:43.861,0.0000,0,0,0,0
2020-07-01 13:37:45.862,0.0000,0,0,0,0
2020-07-01 13:37:47.862,0.0000,0,0,0,0
2020-07-01 13:37:49.862,0.0000,0,0,0,0
2020-07-01 13:37:51.863,0.0000,0,0,0,0
2020-07-01 13:37:53.864,0.0000,0,0,0,0
2020-07-01 13:37:55.863,0.0000,0,0,0,0
2020-07-01 13:37:57.864,0.0000,0,0,0,0
2020-07-01 13:37:59.864,0.0000,0,0,0,0
2020-07-01 13:38:01.865,0.0000,0,0,0,0
2020-07-01 13:38:03.865,0.0000,0,0,0,0
2020-07-01 13:38:05.865,0.0000,0,0,0,0
2020-07-01 13:38:07.866,0.0000,0,0,0,0
2020-07-01 13:38:09.866,0.0000,0,0,0,0
2020-07-01 13:38:11.867,0.0000,0,0,0,0
2020-07-01 13:38:13.867,0.0000,0,0,0,0
2020-07-01 13:38:15.867,0.0000,0,0,0,0
2020-07-01 13:38:17.867,0.0000,0,0,0,0
2020-07-01 13:38:19.852,0.0000,0,0,0,0
2020-07-01 13:39:05.953,0.0000,0,0,0,0
2020-07-01 13:39:07.954,0.0000,0,0,0,0
2020-07-01 13:39:09.954,0.0000,0,0,0,0
2020-07-01 13:39:11.954,0.0000,0,0,0,0
2020-07-01 13:39:13.955,0.0000,0,0,0,0
2020-07-01 13:39:15.955,0.0000,0,0,0,0
2020-07-01 13:39:17.955,0.0000,0,0,0,0
2020-07-01 13:40:09.624,0.0000,0,0,0,0
2020-07-01 13:40:11.624,0.0000,0,0,0,0
2020-07-01 13:40:13.624,0.0000,0,0,0,0
2020-07-01 13:40:15.625,0.0000,0,0,0,0
2020-07-01 13:40:17.633,0.0000,0,0,0,0
2020-07-01 13:40:19.641,0.0000,0,0,0,0
2020-07-01 13:40:21.634,0.0000,0,0,0,0
2020-07-01 13:40:23.634,0.0000,0,0,0,0
2020-07-01 13:40:25.618,0.0000,0,0,0,0
2020-07-01 13:40:27.635,0.0000,0,0,0,0
2020-07-01 13:40:29.635,0.0000,0,0,0,0
2020-07-01 13:40:31.635,0.0000,0,0,0,0
2020-07-01 13:40:33.620,0.0000,0,0,0,0
2020-07-01 13:40:35.636,0.0000,0,0,0,0
